,title,company,estimatedSalary,salary,summary
0,Full Stack Web Developer - Entry Level,Aston Technologies Inc.,,$25 an hour,"Upon successful completion of training, you will have a clearer understanding of creating enterprise REST Endpoints, complex Full-Stack web applications, and…"
1,Web Developer,Office of the Revisor of Statutes,,"From $64,394 a year","Continuous Integration and Deployment for deploying web project.The Systems Analyst/Programmer will enhance and maintain existing web programs, as well as…"
2,Web Designer/Front End Developer,Intercross Design,,,Proficiency in creating frame animation gifs/motion graphics for web with Photoshop or Adobe Animate.This individual will design and develop digital projects –…
3,newPHP Developer,"Prodege, LLC.",,"$60,112 - $133,768 a year","Through deep consumer profiling, our partners can more effectively acquire new customers, boost engagement, increase revenue and drive brand loyalty and product…"
4,Ecommerce Web Developer,Charlotte Fabrics,,"$85,000 - $110,000 a year",In this position you will work with our design team to build new ecommerce websites and update/optimize existing websites.Experience with UX/UI optimizations.
5,Junior Web Designer [128],ReminderMedia,,"$40,000 - $50,000 a year",Knowledge of best practices on the web and prior web design experience is required.Keep up to date with the latest web standards and trends.
6,newFront End Web Developer,Bliss Direct Media,Estimated $48.5K – $61.3K a year,,Manage existing websites and web applications.Bliss Direct Media is seeking a Front End Web Developer to help create and maintain web-to-print-applications.
7,newWeb & Graphic Designer,NorthWing Digital,,"$50,000 - $60,000 a year",Communicate design changes to web developers and review for proper design and layout before sending to client for final approval.Web design: 1 year (Required).
8,Web Developer,Robert Half,,$59.38 - $68.75 an hour,Rooted understanding of how a mobile user experience differs from the experience on a web or other application.Skills in HTML and CSS.
9,React Developer,The Mom Project,Estimated $92.4K – $117K a year,,You have experience working at an advertising/design/consulting agency or web startup.Produce HTML/CSS/JavaScript code from design documentation for…
10,Web Developer,Gullview Technologies,Estimated $60K – $76K a year,,"Ability to troubleshoot and optimize web pages for security and responsiveness.This team member will work with the Program Manager, Senior Web Developer,…"
11,newFront End Developer,RPO International,,Up to $70 an hour,The Radar team is responsible for building new / update existing components for the bestbuy.com site across many front end experiences.
12,Full Stack Developer,Hennepin County,,"$70,691 - $104,650 a year","Work collaboratively with managers, customers, and other developers.The Service Delivery Technology team for the Information Technology and Records Management…"
13,Associate Software Engineer,"Longevity Holdings, Inc",,"$60,000 - $75,000 a year","Longevity Holdings Inc. (Longevity) is seeking an Associate Software Engineer who has a genuine interest in learning, implementing, and solving complex problems…"
14,Web Developer,Minneapolis Institute of Art,,$31.19 - $31.93 an hour,"You are an entrepreneurial web developer who makes recommendations and thinks strategically.Develop and maintain museum web sites.In this role, you will….*."
15,Full Stack Web Developer - Entry Level,Aston Technologies Inc.,,$25 an hour,"Upon successful completion of training, you will have a clearer understanding of creating enterprise REST Endpoints, complex Full-Stack web applications, and…"
16,Web Developer,Office of the Revisor of Statutes,,"From $64,394 a year","Continuous Integration and Deployment for deploying web project.The Systems Analyst/Programmer will enhance and maintain existing web programs, as well as…"
17,Web Designer/Front End Developer,Intercross Design,,,Proficiency in creating frame animation gifs/motion graphics for web with Photoshop or Adobe Animate.This individual will design and develop digital projects –…
18,newPHP Developer,"Prodege, LLC.",,"$60,112 - $133,768 a year","Through deep consumer profiling, our partners can more effectively acquire new customers, boost engagement, increase revenue and drive brand loyalty and product…"
19,Front End Developer (Entry level),Revature,Estimated $68.7K – $86.9K a year,,College degree (Associates or Bachelors).Must be authorized to work in the US.Strong desire to learn to code – No prior professional experience required.
20,Ecommerce Web Developer,Charlotte Fabrics,,"$85,000 - $110,000 a year",In this position you will work with our design team to build new ecommerce websites and update/optimize existing websites.Experience with UX/UI optimizations.
21,Junior Web Designer [128],ReminderMedia,,"$40,000 - $50,000 a year",Knowledge of best practices on the web and prior web design experience is required.Keep up to date with the latest web standards and trends.
22,newFront End Web Developer,Bliss Direct Media,Estimated $48.5K – $61.3K a year,,Manage existing websites and web applications.Bliss Direct Media is seeking a Front End Web Developer to help create and maintain web-to-print-applications.
23,newWeb & Graphic Designer,NorthWing Digital,,"$50,000 - $60,000 a year",Communicate design changes to web developers and review for proper design and layout before sending to client for final approval.Web design: 1 year (Required).
24,Web Developer,Robert Half,,$59.38 - $68.75 an hour,Rooted understanding of how a mobile user experience differs from the experience on a web or other application.Skills in HTML and CSS.
25,React Developer,The Mom Project,Estimated $92.4K – $117K a year,,You have experience working at an advertising/design/consulting agency or web startup.Produce HTML/CSS/JavaScript code from design documentation for…
26,Web Developer,Gullview Technologies,Estimated $60K – $76K a year,,"Ability to troubleshoot and optimize web pages for security and responsiveness.This team member will work with the Program Manager, Senior Web Developer,…"
27,newFront End Developer,RPO International,,Up to $70 an hour,The Radar team is responsible for building new / update existing components for the bestbuy.com site across many front end experiences.
