,title,company,estimated salary,salary,summary
0,newLead Web Developer,Infra Space Solutions,,,Strong bonus program as well.O Work with Business Analysts to ensure quality user stories.O Run stand-ups and other scrum/sprint ceremonies.
1,newSoftware Developer (Work Remotely!),Taylor Corporation,,,The platform enforces a wide variety of business rules and features a high level of integration with multiple client-provided and third-party systems.
2,newIT Developer,RPO International,,Up to $85 an hour,"Design and develop web API, ASP.Working closely with Product Owner to define and discuss solution.Automating build and deployment using Jenkins CI/CD pipeline…"
3,newFront End Developer,Queue-it,,,"Enthusiasm for the web, new technology, and design trends.Using HTML5, responsive design, and mobile UX principles, you will design Queue-it customer queue…"
4,newWeb & Graphic Designer,NorthWing Digital,,"$50,000 - $60,000 a year",Communicate design changes to web developers and review for proper design and layout before sending to client for final approval.Web design: 1 year (Required).
5,newFront End Developer,Robert Half,,$47.50 - $55.00 an hour,Architect dynamic data-driven web experiences using various web-based APIs.Guide web engineers to help them develop their technical proficiencies.
6,newDeveloper (Specialty) II (contract),Best Buy,,,"Building clients and servers for web APIs in any programming language.As a Junior developer, the candidate will learn how to build automation scripts with…"
7,newSoftware Engineer,CyberCoders,,"$90,000 - $100,000 a year","You will work on application design, development, and testing.Interface with 3rd party data vendors to consume 3rd Party APIs."
8,newLead Web Developer - Remote React + Lead of small dev team i...,Infraspace Technology Corp.,,,Strong bonus program as well.O Work with Business Analysts to ensure quality user stories.O Run stand-ups and other scrum/sprint ceremonies.
9,newFront End Developer IV,pearlsoftsolutions,,,Developing front end web applications.Strong social and communication skills · Strong HTML/CSS skills · 3+ years utilizing RESTful APIs in front end web…
10,newSoftware Developer,Robert Half,,$55 - $65 an hour,Exposure to public facing high-traffic web sites.Experience in web front-end development including JavaScript and front-end frameworks.
11,newFull Stack .Net Developer,Insight Global,,,"This candidate will be a heads down developer - 80% development / 20% Scrum Meetings.They will be responsible for developing, analysis once production support…"
12,newFull Stack Software Engineer (Remote or On-site),Tevera,,"$90,000 - $115,000 a year","Optional but desirable: Experience building responsive/mobile first web applications.$90,000 - $115,000 salaried exempt.In-office and/or Remote."
13,new.NET Developer - Software Engineer,TEKsystems,,,"In addition, developers will be creating new modules in .NET web applications, interfaces, data feeds, etc.In the Employee Compliance Technology space, we are…"
14,newRuby on Rails Developer,Robert Half,,$55 - $65 an hour,"5+ years of experience developing, testing, shipping, and supporting production-quality web applications Expert-level knowledge of Ruby on Rails Expert-level…"
