,post date,title,company,estimated salary,salary,summary
0,Today,Front End Developer (Entry level),Revature,,,College degree (Associates or Bachelors).Must be authorized to work in the US.Strong desire to learn to code – No prior professional experience required.
1,1 day ago,Senior Software Engineer,Growing Company,,"$130,000 - $160,000 a year",Expert understanding of web development concepts.Understanding of the full web development stack.Develop software applications using best practices in…
2,Just posted,Web Developer,Entegee,,From $56 an hour,"Experience with AJAX for implementing dynamic web pages via API calls.Experience developing web applications supporting multiple browsers Google Chrome,…"
3,Today,Web and Mobile Application Developer - ITS4,State of Minnesota,,$32.32 - $53.31 an hour,Experience building web applications that deliver information for outdoor recreation-based activities.Experience developing and testing web and mobile apps for…
4,Just posted,Full-stack developer (Remote),Psychology Today,,"$130,000 - $150,000 a year",3+ years experience in web development.Hours are Eastern Standard Time; the position is remote.BA/BS degree in CS or equivalent experience.
5,Today,Sr. Front End Engineer,Horizontal Talent,,,"Developing web pages and applications using HTML5, CSS3 and JavaScript/ECMAScript, ReactJs, Web components.Apply standard techniques, procedures and criteria…"
6,1 day ago,Web & Graphic Designer,NorthWing Digital,,"$50,000 - $60,000 a year",Communicate design changes to web developers and review for proper design and layout before sending to client for final approval.Web design: 1 year (Required).
7,1 day ago,Software Developer (Work Remotely!),Taylor Corporation,,,The platform enforces a wide variety of business rules and features a high level of integration with multiple client-provided and third-party systems.
8,Today,Construction Project Engineer/Estimator,Kevitt Companies,,"$45,000 - $65,000 a year","Microsoft Office, project and pertinent web application skills at an intermediate level.Project Engineers are involved in estimating, buyout, submittals, and…"
9,Today,Full Stack .Net Developer,Insight Global,,,"This candidate will be a heads down developer - 80% development / 20% Scrum Meetings.They will be responsible for developing, analysis once production support…"
10,Just posted,Developer (Specialty) II,RPO International,,Up to $68 an hour,"Experience with building clients and servers for web APIs in any programming language.As a Junior developer, the candidate will learn how to build automation…"
11,Today,Front End Developer,Robert Half,,$47.50 - $55.00 an hour,Architect dynamic data-driven web experiences using various web-based APIs.Guide web engineers to help them develop their technical proficiencies.
12,Today,IT Developer,RPO International,,Up to $85 an hour,"Design and develop web API, ASP.Working closely with Product Owner to define and discuss solution.Automating build and deployment using Jenkins CI/CD pipeline…"
13,Just posted,.NET Lead Developer,AR Val services,,$51 - $55 an hour,"SQL server development experience with Strong knowledge of database concepts like joins, stored.Experience with Authentication Technologies SSO, SAML, Oauth."
14,Today,Web Designer,DecksDirect,,,"Create, improve, and expand digital design assets for our e-commerce website from guidelines.Create content for email campaigns and paid ad campaigns."
15,Today,Front End Developer (Entry level),Revature,Estimated $68.7K – $86.9K a year,,College degree (Associates or Bachelors).Must be authorized to work in the US.Strong desire to learn to code – No prior professional experience required.
16,Just posted,Web Developer,Entegee,,From $56 an hour,"Experience with AJAX for implementing dynamic web pages via API calls.Experience developing web applications supporting multiple browsers Google Chrome,…"
17,1 day ago,Senior Software Engineer,Growing Company,,"$130,000 - $160,000 a year",Expert understanding of web development concepts.Understanding of the full web development stack.Develop software applications using best practices in…
18,Today,Sr. Front End Engineer,Horizontal Talent,Estimated $98K – $124K a year,,"Developing web pages and applications using HTML5, CSS3 and JavaScript/ECMAScript, ReactJs, Web components.Apply standard techniques, procedures and criteria…"
19,Just posted,Full-stack developer (Remote),Psychology Today,,"$130,000 - $150,000 a year",3+ years experience in web development.Hours are Eastern Standard Time; the position is remote.BA/BS degree in CS or equivalent experience.
20,Today,Construction Project Engineer/Estimator,Kevitt Companies,,"$45,000 - $65,000 a year","Microsoft Office, project and pertinent web application skills at an intermediate level.Project Engineers are involved in estimating, buyout, submittals, and…"
21,Today,"REMOTE Frontend Developer - FinTech Startup, Mobile Applicat...",CyberCoders,,"$110,000 - $140,000 a year",Currently we are in need of a REMOTE Frontend Developer that has 3+ years of experience with React and mobile applications and comes from a software engineering…
22,1 day ago,Web & Graphic Designer,NorthWing Digital,,"$50,000 - $60,000 a year",Communicate design changes to web developers and review for proper design and layout before sending to client for final approval.Web design: 1 year (Required).
23,Today,Web and Mobile Application Developer - ITS4,State of Minnesota,,$32.32 - $53.31 an hour,Experience building web applications that deliver information for outdoor recreation-based activities.Experience developing and testing web and mobile apps for…
24,Today,Front End Developer,Robert Half,,$47.50 - $55.00 an hour,Architect dynamic data-driven web experiences using various web-based APIs.Guide web engineers to help them develop their technical proficiencies.
25,Today,Web Designer,DecksDirect,,,"Create, improve, and expand digital design assets for our e-commerce website from guidelines.Create content for email campaigns and paid ad campaigns."
26,Today,Full Stack .Net Developer,Insight Global,Estimated $96K – $122K a year,,"This candidate will be a heads down developer - 80% development / 20% Scrum Meetings.They will be responsible for developing, analysis once production support…"
27,Today,IT Developer,RPO International,,Up to $85 an hour,"Design and develop web API, ASP.Working closely with Product Owner to define and discuss solution.Automating build and deployment using Jenkins CI/CD pipeline…"
