,title,company,estimatedSalary,summary
0,Full Stack Web Developer - Entry Level,Aston Technologies Inc.,,"Upon successful completion of training, you will have a clearer understanding of creating enterprise REST Endpoints, complex Full-Stack web applications, and…"
1,Ecommerce Web Developer,Charlotte Fabrics,,"You will be the primary developer, so extensive experience is required.Charlotte Fabrics is a family owned 3rd generation fabric brand based in New Hope, MN."
2,Web Developer,Office of the Revisor of Statutes,,"Continuous Integration and Deployment for deploying web project.The Systems Analyst/Programmer will enhance and maintain existing web programs, as well as…"
3,Front End Developer (Entry level),Revature,Estimated $68.7K – $86.9K a year,"In the next 4 weeks, Revature is looking to hire over 300 Front End Developers across the country.We are the largest employer of emerging tech talent."
4,Front End Web Developer (PHP / WordPress),NorthWing Digital,,"Our team is looking to hire a full-time, fully remote web developer.NorthWing Digital is a rapidly growing web marketing agency based in Hopkins, Minnesota."
5,Ecommerce Web Designer,Charlotte Fabrics,,"Portfolio of past web designs relating to ecommerce.You will be our primary web designer, but will work closely with our graphic designer and other team…"
6,Web Designer/Front End Developer,Intercross Design,,Proficiency in creating frame animation gifs/motion graphics for web with Photoshop or Adobe Animate.You’ll have the opportunity to collaborate and learn with…
7,newFront End Web Developer,Bliss Direct Media,Estimated $48.5K – $61.3K a year,"Manage existing websites and web applications.Our ideal candidate is an easy going, adaptable, and passionate developer who enjoys working in a team setting."
8,Senior Sitecore Developer - 100% Remote,Emergent Software,,"Front-end web development capabilities using HTML5, CSS, JavaScript, etc.We are building a team of professionals with the variety of skills our clients need to…"
9,Web Developer,Robert Half,,Rooted understanding of how a mobile user experience differs from the experience on a web or other application.What you get to do every day.
10,newFull Stack Web Developer,CyberCoders,,"1+ year of web development experience.If you are a Web Developer with PHP experience, please read on!Job Title: Web Developer (Entry Level)."
11,Web Developer,Gullview Technologies,Estimated $60K – $76K a year,Ability to troubleshoot and optimize web pages for security and responsiveness.One of our clients is adding a Web Developer to their team and need to find an…
12,newLead Web Developer,Infra Space Solutions,Estimated $110K – $139K a year,This person will be leading a team of 3-4 front end developers.The Web Development Supervisor is responsible for leading a small and focused team of front-end…
13,Entry-Level Web Developer,Starkey Hearing Technologies,Estimated $68.7K – $86.9K a year,"You will join a small, tight-knit, and growing team of experienced, intelligent web developers working to build Starkey’s next generation of services to serve a…"
14,Web Developer,ThingBits,Estimated $53.8K – $68.2K a year,"ThingBits is a hardware startup involved in the design and development of educational kits for students, hobbyists, and amateurs of all ages."
15,Full Stack Web Developer - Entry Level,Aston Technologies Inc.,,"Upon successful completion of training, you will have a clearer understanding of creating enterprise REST Endpoints, complex Full-Stack web applications, and…"
16,Web Developer,Office of the Revisor of Statutes,,"Continuous Integration and Deployment for deploying web project.The Systems Analyst/Programmer will enhance and maintain existing web programs, as well as…"
17,Front End Web Developer (PHP / WordPress),NorthWing Digital,,Work with internal team to create website designs and identify new web development capabilities.You will use your coding expertise to make suggestions on how…
18,newPHP Developer,"Prodege, LLC.",,"Through deep consumer profiling, our partners can more effectively acquire new customers, boost engagement, increase revenue and drive brand loyalty and product…"
19,Web Designer/Front End Developer,Intercross Design,,Proficiency in creating frame animation gifs/motion graphics for web with Photoshop or Adobe Animate.This individual will design and develop digital projects –…
20,Ecommerce Web Developer,Charlotte Fabrics,,In this position you will work with our design team to build new ecommerce websites and update/optimize existing websites.Experience with UX/UI optimizations.
21,Junior Web Designer [128],ReminderMedia,,Knowledge of best practices on the web and prior web design experience is required.Keep up to date with the latest web standards and trends.
22,newFront End Web Developer,Bliss Direct Media,Estimated $48.5K – $61.3K a year,Manage existing websites and web applications.Bliss Direct Media is seeking a Front End Web Developer to help create and maintain web-to-print-applications.
23,Web Developer,Robert Half,,Rooted understanding of how a mobile user experience differs from the experience on a web or other application.Skills in HTML and CSS.
24,React Developer,The Mom Project,Estimated $92.4K – $117K a year,You have experience working at an advertising/design/consulting agency or web startup.Produce HTML/CSS/JavaScript code from design documentation for…
25,Web Developer,Gullview Technologies,Estimated $60K – $76K a year,"Ability to troubleshoot and optimize web pages for security and responsiveness.This team member will work with the Program Manager, Senior Web Developer,…"
26,newFront End Developer,RPO International,,The Radar team is responsible for building new / update existing components for the bestbuy.com site across many front end experiences.
27,IT Software Developer I,Hennepin County,,"Work collaboratively with managers, customers, and other developers.The Lifecycle Management team is responsible for the lifecycle of applications developed by…"
28,newLead Web Developer,Infra Space Solutions,Estimated $110K – $139K a year,Strong bonus program as well.O Work with Business Analysts to ensure quality user stories.O Run stand-ups and other scrum/sprint ceremonies.
29,Web Developer,Minneapolis Institute of Art,,"You are an entrepreneurial web developer who makes recommendations and thinks strategically.Develop and maintain museum web sites.In this role, you will….*."
30,Full Stack Web Developer - Entry Level,Aston Technologies Inc.,,"About Aston: ""Our culture of Innovation, Collaboration, Inspiration and Mentorship is at the core of our success."" With offices in Minneapolis, MN and San…"
31,Web Developer,Office of the Revisor of Statutes,,"*Web Developer Minnesota Legislature* The Office of the Revisor of Statutes, a nonpartisan office in the Minnesota Legislature, is seeking applicants for…"
32,Front End Web Developer (PHP / WordPress),NorthWing Digital,,*WordPress Front End Web Developer Summary of Position: * NorthWing’s new Remote WordPress Web Developer will be responsible for custom code and editing…
33,newPHP Developer,"Prodege, LLC.",,"A cutting-edge marketing and consumer insights platform, Prodege (pro-dé-gée) leverages its global audience of reward program members to power its business…"
34,Web Designer/Front End Developer,Intercross Design,,Web Designer/Front End Developer Intercross is growing and we’re searching for a new interactive team member. This individual will design and develop…
35,Ecommerce Web Developer,Charlotte Fabrics,,"Charlotte Fabrics is a family owned 3rd generation fabric brand based in New Hope, MN. In this position you will work with our design team to build new…"
36,Front End Developer (Entry level),Revature,Estimated $68.7K – $86.9K a year,"In the next 4 weeks, Revature is looking to hire over 300 Front End Developers across the country. We are the largest employer of emerging tech talent. One…"
37,newFront End Web Developer,Bliss Direct Media,Estimated $48.5K – $61.3K a year,Bliss Direct Media is seeking a Front End Web Developer to help create and maintain web-to-print-applications. You'll be part of a small team of developers…
38,Junior Web Designer [128],ReminderMedia,,_Do you have a passion for executing a vision through good web design and imagery? Are you looking for a fast-paced work environment that will allow you to…
39,Web Developer,Gullview Technologies,Estimated $60K – $76K a year,One of our clients is adding a Web Developer to their team and need to find an up and comer that likes to have fun at work. This team member will work with…
40,newFront End Developer,RPO International,,"Genesis10 is seeking a IT - Front End Developer for a contract position with our client in Richfield, MN. Job Description: * Online Experiences * Our…"
41,IT Software Developer I,Hennepin County,,The Lifecyle Management team in the Information Technology and Records Management (ITRM) Division of Health and Human Services is seeking an IT Software…
42,Entry-Level React Web Application Engineer,Quintrix Solutions Inc,,We are on the lookout for developers who are open to upskilling to the exciting world of *React Web Application *development. React is one of the fastest…
43,Web Developer,Robert Half,,"If you're looking to further your career in web development, Robert Half is currently looking for a Web Developer with skills and experience to join a rapidly…"
44,newLead Web Developer,Infra Space Solutions,Estimated $110K – $139K a year,We have a great opportunity for a React (or Vue) Web Developer with Lead experience to join our fast-growing manufacturing client in Minneapolis area. Can be…
45,Full Stack Web Developer - Entry Level,Aston Technologies Inc.,,"Upon successful completion of training, you will have a clearer understanding of creating enterprise REST Endpoints, complex Full-Stack web applications, and…"
46,Web Developer,Office of the Revisor of Statutes,,"Continuous Integration and Deployment for deploying web project.The Systems Analyst/Programmer will enhance and maintain existing web programs, as well as…"
47,Front End Web Developer (PHP / WordPress),NorthWing Digital,,Work with internal team to create website designs and identify new web development capabilities.You will use your coding expertise to make suggestions on how…
48,newPHP Developer,"Prodege, LLC.",,"Through deep consumer profiling, our partners can more effectively acquire new customers, boost engagement, increase revenue and drive brand loyalty and product…"
49,Web Designer/Front End Developer,Intercross Design,,Proficiency in creating frame animation gifs/motion graphics for web with Photoshop or Adobe Animate.This individual will design and develop digital projects –…
50,Ecommerce Web Developer,Charlotte Fabrics,,In this position you will work with our design team to build new ecommerce websites and update/optimize existing websites.Experience with UX/UI optimizations.
51,newFront End Web Developer,Bliss Direct Media,Estimated $48.5K – $61.3K a year,Manage existing websites and web applications.Bliss Direct Media is seeking a Front End Web Developer to help create and maintain web-to-print-applications.
52,Junior Web Designer [128],ReminderMedia,,Knowledge of best practices on the web and prior web design experience is required.Keep up to date with the latest web standards and trends.
53,Web Developer,Robert Half,,Rooted understanding of how a mobile user experience differs from the experience on a web or other application.Skills in HTML and CSS.
54,React Developer,The Mom Project,Estimated $92.4K – $117K a year,You have experience working at an advertising/design/consulting agency or web startup.Produce HTML/CSS/JavaScript code from design documentation for…
55,Web Developer,Gullview Technologies,Estimated $60K – $76K a year,"Ability to troubleshoot and optimize web pages for security and responsiveness.This team member will work with the Program Manager, Senior Web Developer,…"
56,IT Software Developer I,Hennepin County,,"Work collaboratively with managers, customers, and other developers.The Lifecycle Management team is responsible for the lifecycle of applications developed by…"
57,Full Stack Developer,Hennepin County,,"Work collaboratively with managers, customers, and other developers.The Service Delivery Technology team for the Information Technology and Records Management…"
